id,code,country_id/id,name,state_id/id
res_country_municipality_97,97,base.ve,Rómulo Gallegos,res_country_state_9
res_country_municipality_98,98,base.ve,San Carlos,res_country_state_9
res_country_municipality_99,99,base.ve,Tinaco,res_country_state_9
res_country_municipality_100,100,base.ve,Antonio Díaz,res_country_state_10
res_country_municipality_101,101,base.ve,Casacoima,res_country_state_10
res_country_municipality_102,102,base.ve,Pedernales,res_country_state_10
res_country_municipality_103,103,base.ve,Tucupita,res_country_state_10
res_country_municipality_104,104,base.ve,Acosta,res_country_state_11
res_country_municipality_105,105,base.ve,Bolívar,res_country_state_11
res_country_municipality_106,106,base.ve,Buchivacoa,res_country_state_11
res_country_municipality_107,107,base.ve,Cacique Manaure,res_country_state_11
res_country_municipality_108,108,base.ve,Carirubana,res_country_state_11
res_country_municipality_109,109,base.ve,Colina,res_country_state_11
res_country_municipality_110,110,base.ve,Dabajuro,res_country_state_11
res_country_municipality_111,111,base.ve,Democracia,res_country_state_11
res_country_municipality_112,112,base.ve,Falcón,res_country_state_11
res_country_municipality_113,113,base.ve,Federación,res_country_state_11
res_country_municipality_114,114,base.ve,Jacura,res_country_state_11
res_country_municipality_115,115,base.ve,Los Taques,res_country_state_11
res_country_municipality_116,116,base.ve,Mauroa,res_country_state_11
res_country_municipality_117,117,base.ve,Miranda,res_country_state_11
res_country_municipality_118,118,base.ve,Monseñor Iturriza,res_country_state_11
res_country_municipality_119,119,base.ve,Palma sola,res_country_state_11
res_country_municipality_120,120,base.ve,Petit,res_country_state_11
res_country_municipality_121,121,base.ve,Píritu,res_country_state_11
res_country_municipality_122,122,base.ve,San Francisco,res_country_state_11
res_country_municipality_123,123,base.ve,Silva,res_country_state_11
res_country_municipality_124,124,base.ve,Sucre,res_country_state_11
res_country_municipality_125,125,base.ve,Tocópero,res_country_state_11
res_country_municipality_126,126,base.ve,Unión,res_country_state_11
res_country_municipality_127,127,base.ve,Urumaco,res_country_state_11
res_country_municipality_128,128,base.ve,Zamora,res_country_state_11
res_country_municipality_129,129,base.ve,Camaguán,res_country_state_12
res_country_municipality_130,130,base.ve,Chaguaramas,res_country_state_12
res_country_municipality_131,131,base.ve,El Socorro,res_country_state_12
res_country_municipality_132,132,base.ve,San Geronimo de Gayabal,res_country_state_12
res_country_municipality_133,133,base.ve,Leonardo Infante,res_country_state_12
res_country_municipality_134,134,base.ve,Las Mercades,res_country_state_12
res_country_municipality_135,135,base.ve,Mallado,res_country_state_12
res_country_municipality_136,136,base.ve,Francisco de Miranda,res_country_state_12
res_country_municipality_137,137,base.ve,Jose Tadeo Monagas,res_country_state_12
res_country_municipality_138,138,base.ve,Ortiz,res_country_state_12
res_country_municipality_139,139,base.ve,Jose Felix Ribas,res_country_state_12
res_country_municipality_140,140,base.ve,Juan German Roscio,res_country_state_12
res_country_municipality_141,141,base.ve,San Jose de Guaribe,res_country_state_12
res_country_municipality_142,142,base.ve,Santa Maria de Ipire,res_country_state_12
res_country_municipality_143,143,base.ve,Pedro Zaraza,res_country_state_12
res_country_municipality_144,144,base.ve,Andres Eloy Blanco,res_country_state_13
res_country_municipality_145,145,base.ve,Crespo,res_country_state_13
res_country_municipality_146,146,base.ve,Iribarren,res_country_state_13
res_country_municipality_147,147,base.ve,Jimenez,res_country_state_13
res_country_municipality_148,148,base.ve,Moran,res_country_state_13
res_country_municipality_149,149,base.ve,Palavecino,res_country_state_13
res_country_municipality_150,150,base.ve,Simón Planas,res_country_state_13
res_country_municipality_151,151,base.ve,Torres,res_country_state_13
res_country_municipality_152,152,base.ve,Urdaneta,res_country_state_13
res_country_municipality_153,153,base.ve,Alberto Adriani,res_country_state_14
res_country_municipality_154,154,base.ve,Andres Bello,res_country_state_14
res_country_municipality_155,155,base.ve,Antonio Pinto Salinas,res_country_state_14
res_country_municipality_156,156,base.ve,Aricagua,res_country_state_14
res_country_municipality_157,157,base.ve,Arzobispo Chacón,res_country_state_14
