"id","sequence","name","auto_apply","vat_required","country_id","state_ids","tax_ids/tax_src_id","tax_ids/tax_dest_id"
"fiscal_position_puerto_libre","5","Puerto Libre","True","False","base.ve","l10n_ve_seniat.res_country_state_17","tax1sale","tax0sale"
"","","","","","","","tax2sale","tax0sale"
"","","","","","","","tax3sale","tax0sale"
"","","","","","","","tax1purchase","tax0purchase"
"","","","","","","","tax2purchase","tax0purchase"
"","","","","","","","tax3purchase","tax0purchase"
