"id","country_id:id","state_id:id","name","l10n_ve_code"
res_city_101,base.ve,l10n_ve_pad.state_ve_1,Libertador,101
res_city_201,base.ve,l10n_ve_pad.state_ve_2,Anaco,201
res_city_202,base.ve,l10n_ve_pad.state_ve_2,Aragua,202
res_city_203,base.ve,l10n_ve_pad.state_ve_2,Simón Bolívar,203
res_city_204,base.ve,l10n_ve_pad.state_ve_2,Manuel Ezequiel Bruzual,204
res_city_205,base.ve,l10n_ve_pad.state_ve_2,Juan Manuel Cajigal,205
res_city_206,base.ve,l10n_ve_pad.state_ve_2,Pedro María Freites,206
res_city_207,base.ve,l10n_ve_pad.state_ve_2,Independencia,207
res_city_208,base.ve,l10n_ve_pad.state_ve_2,Libertad,208
res_city_209,base.ve,l10n_ve_pad.state_ve_2,Francisco De Miranda,209
res_city_210,base.ve,l10n_ve_pad.state_ve_2,José Gregorio Monagas,210
res_city_211,base.ve,l10n_ve_pad.state_ve_2,Fernando De Peñalver,211
res_city_212,base.ve,l10n_ve_pad.state_ve_2,Simón Rodríguez,212
res_city_213,base.ve,l10n_ve_pad.state_ve_2,Juan Antonio Sotillo,213
res_city_214,base.ve,l10n_ve_pad.state_ve_2,San José De Guanipa,214
res_city_215,base.ve,l10n_ve_pad.state_ve_2,Guanta,215
res_city_216,base.ve,l10n_ve_pad.state_ve_2,Píritu,216
res_city_217,base.ve,l10n_ve_pad.state_ve_2,Diego Bautista Urbaneja,217
res_city_218,base.ve,l10n_ve_pad.state_ve_2,Francisco Del Carmen Carvajal,218
res_city_219,base.ve,l10n_ve_pad.state_ve_2,Santa  Ana,219
res_city_220,base.ve,l10n_ve_pad.state_ve_2,Sir Arthur Mc Gregor,220
res_city_221,base.ve,l10n_ve_pad.state_ve_2,San Juan De Capistrano,221
res_city_301,base.ve,l10n_ve_pad.state_ve_3,Autónomo Atures,301
res_city_302,base.ve,l10n_ve_pad.state_ve_3,Autónomo Atabapo,302
res_city_303,base.ve,l10n_ve_pad.state_ve_3,Autónomo Guainía,303
res_city_304,base.ve,l10n_ve_pad.state_ve_3,Autónomo Río Negro,304
res_city_305,base.ve,l10n_ve_pad.state_ve_3,Autónomo Autana,305
res_city_306,base.ve,l10n_ve_pad.state_ve_3,Autónomo Manapiare,306
res_city_307,base.ve,l10n_ve_pad.state_ve_3,Autónomo Alto Orinoco,307
res_city_401,base.ve,l10n_ve_pad.state_ve_4,Achaguas,401
res_city_402,base.ve,l10n_ve_pad.state_ve_4,Muñoz,402
res_city_403,base.ve,l10n_ve_pad.state_ve_4,Páez,403
res_city_404,base.ve,l10n_ve_pad.state_ve_4,Pedro Camejo,404
res_city_405,base.ve,l10n_ve_pad.state_ve_4,Rómulo Gallegos,405
res_city_406,base.ve,l10n_ve_pad.state_ve_4,San Fernando,406
